x,y
0.333300,0.745300
0.988742,0.645723
0.030224,0.807323
0.285547,0.512117
0.966303,0.899348
0.089431,0.279868
0.582963,0.693224
0.849380,0.739211
0.374383,0.657597
0.993120,0.791927
0.018511,0.547301
0.199392,0.890081
0.868093,0.304648
0.331552,0.735761
0.988264,0.664217
0.031501,0.782863
0.294090,0.567422
0.971805,0.879886
0.075044,0.331611
0.524716,0.776977
0.913648,0.580242
0.222780,0.871555
0.903204,0.353394
0.248271,0.806217
0.933929,0.514685
0.172365,0.899042
0.818213,0.280689
0.443232,0.694702
0.973731,0.736819
0.069988,0.662196
0.502545,0.785666
0.933623,0.561247
0.173135,0.883391
0.819784,0.322379
0.439837,0.763478
0.975403,0.608887
0.065587,0.847853
0.482447,0.413990
0.949450,0.867344
0.132977,0.364313
0.724387,0.819462
0.630622,0.483528
0.785018,0.898795
0.513034,0.281353
0.924495,0.695894
0.195966,0.734879
0.862347,0.665899
0.344820,0.780506
0.991281,0.572579
0.023438,0.876705
0.237524,0.339955
0.921882,0.788615
0.202458,0.554705
0.873100,0.886741
0.319907,0.313517
0.984436,0.749917
0.041694,0.636562
0.357690,0.818435
0.992890,0.485974
0.019129,0.899126
0.204348,0.280463
0.876124,0.694296
0.312837,0.737477
0.981557,0.660935
0.049335,0.787399
0.400830,0.557409
0.989404,0.885402
0.028457,0.317063
0.273481,0.755414
0.957351,0.625481
0.112662,0.830970
0.664151,0.455774
0.733862,0.891327
0.613121,0.301331
0.809823,0.730322
0.461223,0.674498
0.963706,0.768117
0.096193,0.599164
0.608110,0.856678
0.816678,0.391679
0.446541,0.848389
0.972033,0.412645
0.074446,0.866321
0.522145,0.366955
0.916097,0.822522
0.216757,0.476207
0.894826,0.897487
0.268485,0.284864
0.953227,0.702147
0.123287,0.724530
0.696786,0.685227
0.679678,0.751874
0.708610,0.632639
0.659018,0.822988
0.741996,0.475090
0.597834,0.897246
0.830388,0.285512
0.416712,0.703291
0.984887,0.722607
0.040495,0.688739
0.350596,0.746370
0.992161,0.643612
0.021083,0.809944
0.219685,0.506007
0.898954,0.899840
0.258551,0.278546
0.944277,0.690835
0.146179,0.743044
0.758947,0.650151
0.565206,0.801712
0.870715,0.525083
0.325465,0.897207
0.986403,0.285615
0.036460,0.703472
0.325996,0.722301
0.986578,0.689297
0.035996,0.745489
0.323089,0.645351
0.985594,0.807787
0.038614,0.511037
0.339271,0.899459
0.990190,0.279570
0.026357,0.692686
0.258752,0.740078
0.944468,0.655921
0.145694,0.794168
0.757735,0.542258
0.567573,0.892081
0.867956,0.299323
0.331869,0.726988
0.988353,0.680701
0.031264,0.758832
0.292515,0.618497
